Client_ID,Sector,Country,Loan_Amount_USD,Environmental_Risk,Social_Risk,HSE_Compliance,ESAP_Status,Green_Finance_Tag,E_Risk_Score,S_Risk_Score,Total_ESG_Risk_Score,High_Risk_Flag
C075,Services,Tanzania,3419720,Medium,Low,Yes,In Progress,No,2,1,3,No
C076,Manufacturing,Tanzania,4761075,Medium,High,No,Closed,Yes,2,3,5,Yes
C077,Agribusiness,DRC,2690328,Low,Low,Yes,In Progress,No,1,1,2,No
C078,Construction,Tanzania,741095,Medium,Low,Yes,Not Started,No,2,1,3,No
C079,Construction,Tanzania,883727,High,Medium,Yes,In Progress,Yes,3,2,5,Yes
C080,Construction,Tanzania,1212928,High,Low,Yes,In Progress,No,3,1,4,No
C081,Services,Uganda,2233151,Low,Low,Yes,Closed,No,1,1,2,No
C082,Agribusiness,DRC,3213683,High,Medium,Yes,Not Started,No,3,2,5,Yes
C083,Services,Kenya,4020001,Medium,Medium,Yes,Closed,No,2,2,4,No
C084,Services,Rwanda,120640,Low,Medium,Yes,In Progress,No,1,2,3,No
C085,Agribusiness,Kenya,4440886,Medium,Medium,Yes,Closed,Yes,2,2,4,No
C086,Agribusiness,DRC,2050991,High,Medium,No,In Progress,No,3,2,5,Yes
C087,Agribusiness,Rwanda,4172263,Medium,Low,Yes,In Progress,No,2,1,3,No
C088,Agribusiness,DRC,4644877,Low,Low,Yes,Closed,No,1,1,2,No
C089,Construction,Tanzania,4305780,Medium,Low,Yes,Not Started,No,2,1,3,No
C090,Energy,Rwanda,1405531,Low,High,Yes,Closed,No,1,3,4,No
C091,Energy,Tanzania,725510,Low,Medium,Yes,In Progress,No,1,2,3,No
C092,Agribusiness,Kenya,3791196,Low,Low,Yes,Not Started,Yes,1,1,2,No
C093,Energy,Kenya,2784296,Low,Low,Yes,In Progress,No,1,1,2,No
C094,Energy,Rwanda,3381869,Low,High,No,Closed,No,1,3,4,No
C095,Agribusiness,Rwanda,948320,Low,Low,No,Not Started,Yes,1,1,2,No
C096,Energy,DRC,4879040,Medium,Medium,Yes,In Progress,Yes,2,2,4,No
C097,Services,DRC,2057635,Low,Medium,Yes,In Progress,Yes,1,2,3,No
C098,Manufacturing,Tanzania,1276607,Low,Medium,Yes,In Progress,No,1,2,3,No
C099,Manufacturing,Rwanda,4113960,High,Low,Yes,Not Started,No,3,1,4,No
C100,Agribusiness,Kenya,3314908,Medium,High,Yes,Closed,No,2,3,5,Yes
C101,Construction,DRC,4310538,Medium,High,No,Closed,No,2,3,5,Yes
C102,Agribusiness,DRC,1662818,Low,Medium,Yes,Closed,Yes,1,2,3,No
C103,Construction,Kenya,2325504,Low,Medium,No,Closed,No,1,2,3,No
C104,Manufacturing,DRC,3275187,Low,High,Yes,Not Started,No,1,3,4,No
C105,Agribusiness,Tanzania,4654299,Low,Medium,Yes,Closed,Yes,1,2,3,No
C106,Services,Rwanda,4710456,Low,Low,Yes,Not Started,Yes,1,1,2,No
C107,Energy,Kenya,4148502,Low,Medium,No,Not Started,Yes,1,2,3,No
C108,Construction,Rwanda,3671581,Low,Medium,Yes,In Progress,No,1,2,3,No
C109,Energy,DRC,4296238,Low,Low,No,In Progress,No,1,1,2,No
C110,Energy,DRC,475523,Medium,Medium,Yes,Closed,No,2,2,4,No
C111,Agribusiness,Kenya,3649865,Low,High,Yes,In Progress,No,1,3,4,No
C112,Energy,Tanzania,4249790,Low,High,No,In Progress,No,1,3,4,No
C113,Services,Uganda,1089458,Medium,Low,Yes,Not Started,No,2,1,3,No
C114,Energy,Kenya,3822811,Medium,Low,Yes,Closed,No,2,1,3,No
C115,Agribusiness,Uganda,2367336,Low,High,Yes,In Progress,Yes,1,3,4,No
C116,Services,Uganda,4210435,Medium,High,No,In Progress,Yes,2,3,5,Yes
C117,Manufacturing,Tanzania,2813642,Medium,Low,No,Not Started,No,2,1,3,No
C118,Energy,Uganda,1859891,Low,High,Yes,Closed,Yes,1,3,4,No
C119,Agribusiness,Uganda,3838340,High,High,Yes,In Progress,No,3,3,6,Yes
C120,Manufacturing,Tanzania,2469862,High,Medium,No,Not Started,No,3,2,5,Yes
C121,Manufacturing,Uganda,247775,Low,Medium,Yes,Not Started,Yes,1,2,3,No
C122,Construction,Uganda,2436488,Low,Low,Yes,In Progress,Yes,1,1,2,No
C123,Services,Uganda,837494,High,Low,No,In Progress,No,3,1,4,No
C124,Energy,Kenya,1251193,Medium,Low,Yes,Not Started,No,2,1,3,No
C125,Agribusiness,Kenya,3993334,Low,High,Yes,Closed,No,1,3,4,No
C126,Construction,Kenya,3059758,Low,Low,Yes,Not Started,No,1,1,2,No
C127,Services,Tanzania,583636,Low,Low,No,In Progress,Yes,1,1,2,No
C128,Construction,DRC,3088370,Medium,Low,No,Closed,Yes,2,1,3,No
C129,Services,Uganda,4282406,Medium,Medium,No,In Progress,No,2,2,4,No
C130,Services,Uganda,4318764,Low,High,Yes,In Progress,No,1,3,4,No
C131,Energy,Tanzania,3285658,Medium,Low,No,In Progress,Yes,2,1,3,No
C132,Services,Uganda,1826203,Medium,Low,No,Not Started,No,2,1,3,No
C133,Construction,Kenya,2326360,Low,Medium,Yes,Closed,No,1,2,3,No
C134,Services,DRC,4458249,Low,Low,No,In Progress,No,1,1,2,No
C135,Energy,Rwanda,4476219,Medium,Low,Yes,Closed,No,2,1,3,No
C136,Energy,Uganda,2584629,High,Low,Yes,Not Started,No,3,1,4,No
C137,Construction,Kenya,575830,Medium,Low,Yes,Not Started,No,2,1,3,No
C138,Manufacturing,Rwanda,1382397,Medium,Low,Yes,Not Started,No,2,1,3,No
C139,Manufacturing,DRC,2186233,Low,Low,Yes,In Progress,Yes,1,1,2,No
C140,Services,Rwanda,768216,Medium,Low,Yes,In Progress,Yes,2,1,3,No
C141,Agribusiness,Kenya,567313,Medium,High,Yes,Closed,No,2,3,5,Yes
C142,Services,Rwanda,3715060,Low,Low,Yes,In Progress,No,1,1,2,No
C143,Construction,Tanzania,3512565,Low,Medium,Yes,Closed,Yes,1,2,3,No
C144,Construction,Rwanda,1387682,Low,Medium,Yes,Not Started,No,1,2,3,No
C145,Construction,Uganda,1336643,Low,Low,Yes,Closed,No,1,1,2,No
C146,Construction,Uganda,1583584,Low,Medium,No,Closed,Yes,1,2,3,No
C147,Construction,Tanzania,444540,Low,Low,Yes,Closed,No,1,1,2,No
C148,Energy,Kenya,2665075,Low,High,Yes,Closed,No,1,3,4,No
C149,Manufacturing,Uganda,4989003,Low,Low,No,Closed,No,1,1,2,No
C150,Construction,DRC,4492987,High,Low,Yes,In Progress,Yes,3,1,4,No
C151,Agribusiness,Uganda,76790,Medium,Low,Yes,Not Started,No,2,1,3,No
C152,Agribusiness,Uganda,1741738,Medium,High,Yes,Not Started,No,2,3,5,Yes
C153,Agribusiness,Kenya,2958873,Medium,Medium,No,Closed,No,2,2,4,No
C154,Agribusiness,Rwanda,498345,Medium,Medium,Yes,In Progress,No,2,2,4,No
C155,Energy,Uganda,799074,Low,Low,No,Closed,No,1,1,2,No
C156,Agribusiness,Tanzania,3735501,Medium,Medium,Yes,In Progress,No,2,2,4,No
C157,Construction,Rwanda,1929490,Medium,Low,No,Not Started,No,2,1,3,No
C158,Services,DRC,3937857,Medium,High,No,Not Started,No,2,3,5,Yes
C159,Agribusiness,Kenya,3226083,Medium,Low,No,In Progress,Yes,2,1,3,No
C160,Energy,DRC,1504908,Low,Low,Yes,In Progress,No,1,1,2,No
C161,Energy,Rwanda,2303694,Low,Low,No,Not Started,No,1,1,2,No
C162,Agribusiness,Rwanda,3369144,Low,Low,Yes,In Progress,No,1,1,2,No
C163,Services,Rwanda,355062,Medium,Medium,Yes,Not Started,Yes,2,2,4,No
C164,Agribusiness,DRC,4999499,Medium,Low,Yes,In Progress,No,2,1,3,No
C165,Energy,Rwanda,2437312,Low,Medium,No,Not Started,No,1,2,3,No
C166,Manufacturing,DRC,3743976,High,Low,No,Closed,No,3,1,4,No
C167,Construction,Rwanda,4458224,Medium,Medium,No,In Progress,Yes,2,2,4,No
C168,Energy,Tanzania,4085493,Low,Low,Yes,In Progress,No,1,1,2,No
C169,Agribusiness,Rwanda,3438532,Low,Low,Yes,Not Started,No,1,1,2,No
C170,Construction,DRC,1475541,Low,Medium,Yes,Not Started,Yes,1,2,3,No
C171,Agribusiness,Uganda,1921403,Low,Low,Yes,In Progress,No,1,1,2,No
C172,Agribusiness,Rwanda,4898287,Low,Low,Yes,In Progress,No,1,1,2,No
C173,Manufacturing,Uganda,871052,Low,High,Yes,In Progress,No,1,3,4,No
C174,Construction,Tanzania,1857150,Low,High,Yes,Not Started,No,1,3,4,No
C175,Construction,Kenya,2275300,Low,Low,Yes,In Progress,No,1,1,2,No
C176,Manufacturing,Tanzania,1905567,High,Low,Yes,Closed,No,3,1,4,No
C177,Energy,Rwanda,1584837,Low,Medium,Yes,Closed,No,1,2,3,No
C178,Agribusiness,Uganda,3551268,Medium,Low,Yes,Not Started,No,2,1,3,No
C179,Services,Uganda,3388442,Medium,Low,No,In Progress,No,2,1,3,No
C180,Agribusiness,DRC,4976203,High,Low,Yes,Not Started,No,3,1,4,No
C181,Agribusiness,Uganda,4504051,Low,Medium,Yes,Not Started,No,1,2,3,No
C182,Energy,DRC,4859954,Low,Medium,Yes,Closed,No,1,2,3,No
C183,Agribusiness,Kenya,473570,High,Low,Yes,Not Started,No,3,1,4,No
C184,Manufacturing,Rwanda,2423139,High,Low,No,In Progress,No,3,1,4,No
C185,Manufacturing,DRC,908158,High,Low,No,In Progress,No,3,1,4,No
C186,Construction,Kenya,2164792,Low,Medium,Yes,Closed,Yes,1,2,3,No
C187,Services,Uganda,102528,Low,Low,Yes,In Progress,No,1,1,2,No
C188,Agribusiness,Uganda,1923421,Medium,Low,No,Not Started,Yes,2,1,3,No
C189,Agribusiness,Kenya,2648260,High,Medium,No,In Progress,No,3,2,5,Yes
C190,Energy,Uganda,1467077,Medium,Low,Yes,In Progress,No,2,1,3,No
C191,Manufacturing,Kenya,3345887,Medium,Medium,Yes,Not Started,No,2,2,4,No
C192,Services,DRC,3368230,Low,Low,Yes,In Progress,No,1,1,2,No
C193,Construction,DRC,2302728,Medium,Low,No,Not Started,No,2,1,3,No
C194,Manufacturing,Kenya,2535195,Low,Low,Yes,Not Started,No,1,1,2,No
C195,Construction,DRC,4310507,Low,Medium,No,In Progress,Yes,1,2,3,No
C196,Energy,DRC,210775,Medium,High,Yes,Not Started,No,2,3,5,Yes
C197,Energy,DRC,2717867,Medium,High,Yes,In Progress,Yes,2,3,5,Yes
C198,Agribusiness,Tanzania,1613299,Low,Low,Yes,In Progress,Yes,1,1,2,No
C199,Services,Rwanda,3519401,Low,Medium,Yes,Closed,No,1,2,3,No
C200,Construction,Uganda,3825803,Medium,Low,Yes,Not Started,No,2,1,3,No
